gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2845302737	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185777393	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.80196	13.053737	25.0						2020-02-23T00:00:00	23	2	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.185777393				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:45.947Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845248805	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/188635162	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Koppl		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.828133	13.114405	25.0						2020-04-14T00:00:00	14	4	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.188635162				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:05.326Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845217625	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/186851029	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.802261	13.051196	25.0						2020-03-18T00:00:00	18	3	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.186851029				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:13.402Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845138569	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/186776730	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Obertrum am See		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.933376	13.067553	25.0						2020-03-17T00:00:00	17	3	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.186776730				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:06.170Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845088605	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/181281009	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Seeham		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.95433	13.061356	25.0						2019-10-19T00:00:00	19	10	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.181281009				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:24.831Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845044979	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/186424289	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	11	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.802071	13.051121	25.0						2020-03-11T00:00:00	11	3	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.186424289				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:04.119Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845040763	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172113236	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Puch bei Hallein		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.714771	13.104564	25.0						2019-05-11T00:00:00	11	5	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.172113236				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:40.113Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844997728	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/171636795	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Puch bei Hallein		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.752441	13.140967	10.0						2019-04-27T00:00:00	27	4	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.171636795				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:58.696Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844920884	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/171264873	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Koppl		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.830952	13.183226	25.0						2019-04-29T00:00:00	29	4	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.171264873				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:41.988Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844918779	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/181153616	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Koppl		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.818128	13.106935	25.0						2019-10-16T00:00:00	16	10	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.181153616				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:22.768Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
