Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
68591,Brida,Paulo Coelho,"Coelho, Paulo",Montserrat Mira,"=""9504915248""","=""9789504915249""",4,3.49,Planeta,Paperback,264,2006,1990,2011/05/15,2012/02/10,,,read,,,,1,,,0,,,,,
9086994,Aleph,Paulo Coelho,"Coelho, Paulo",,"=""""","=""9788575425770""",4,3.38,Sextante,Paperback,255,2010,2010,2011/11/04,2012/02/10,,,read,,,,1,,,0,,,,,
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",3,4.09,Random House: Modern Library,Paperback,272,2004,1890,2009/10/01,2012/02/10,,,read,,,,1,,,0,,,,,
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",5,4.38,Riverhead Books,Hardcover,372,2007,2007,2011/07/01,2012/02/10,,,read,,,,1,,,0,,,,,
6969,Emma,Jane Austen,"Austen, Jane","Anna Luisa Zazo, Fiona Stafford","=""0141439580""","=""9780141439587""",3,4.02,Penguin Books,Paperback,474,2003,1815,2010/11/01,2012/02/10,,,read,,,,1,,,0,,,,,
59849,The Ghost,Danielle Steel,"Steel, Danielle",,"=""0440224853""","=""9780440224853""",4,3.89,Dell,Paperback,420,1998,1997,2010/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
73968,"Love Story (Love Story, #1)",Erich Segal,"Segal, Erich",,"=""0380017601""","=""9780380017607""",3,3.63,HarperTorch,Paperback,224,2002,1970,2009/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
61663,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345376595""","=""9780345376596""",5,4.30,Ballantine Books,Paperback,384,1997,1994,2011/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Paul Werstine, Barbara A. Mowat, Paavo Emil Cajander","=""0743477111""","=""9780743477116""",3,3.75,Simon Schuster,Paperback,301,2004,1597,2010/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
337132,Flashforward,Robert J. Sawyer,"Sawyer, Robert J.",,"=""0812580346""","=""9780812580341""",4,3.64,Tor Books,Paperback,320,2000,1999,2011/02/01,2012/02/10,,,read,,,,1,,,0,,,,,
84369,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,"Lewis, C.S.",,"=""0007202326""","=""9780007202324""",2,4.01,HarperCollins Publishers,Paperback,288,2005,1956,2008/03/01,2012/02/10,,,read,,,,1,,,0,,,,,
65641,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""""","=""""",2,3.95,HarperCollins,Paperback,243,2008,1953,2008/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
84119,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,"Lewis, C.S.",,"=""0439861365""","=""9780439861366""",2,3.91,Scholastic Inc,Paperback,224,1995,1954,2007/06/01,2012/02/10,,,read,,,,1,,,0,,,,,
